customer_id,customer_name,customer_country,customer_state,customer_segment
19451,Adele Pennington,USA,GA,Home Office
19450,Sybill Spencer,Puerto Rico,PR,Home Office
19449,Kay Sandoval,USA,CA,Consumer
19448,Stacy Mckinney,Puerto Rico,PR,Corporate
19447,Marah Lara,USA,NY,Corporate
19446,Taylor Wood,USA,TX,Corporate
9083,Mary Frank,Puerto Rico,PR,Home Office
4741,Mary Smith,Puerto Rico,PR,Home Office
639,Elizabeth Pittman,Puerto Rico,PR,Home Office
9702,Katherine Tyler,Puerto Rico,PR,Home Office
9114,Mary Smith,Puerto Rico,PR,Home Office
1362,Dennis Smith,Puerto Rico,PR,Home Office
8011,Mary Hill,Puerto Rico,PR,Home Office
3296,Mary Smith,Puerto Rico,PR,Home Office
3182,Frances Smith,Puerto Rico,PR,Home Office
7864,Alice Smith,Puerto Rico,PR,Home Office
11169,Kyle Thomas,Puerto Rico,PR,Home Office
5197,Brenda Jordan,Puerto Rico,PR,Home Office
1535,Frank Livingston,Puerto Rico,PR,Home Office
6122,Johnny Smith,Puerto Rico,PR,Home Office
9451,Mary Smith,Puerto Rico,PR,Home Office
542,Mary Smith,Puerto Rico,PR,Home Office
11329,Hannah Smith,Puerto Rico,PR,Home Office
3570,Mary Nelson,Puerto Rico,PR,Home Office
650,Austin Sexton,Puerto Rico,PR,Home Office
9353,Michael Scott,Puerto Rico,PR,Home Office
54,Mary Olson,Puerto Rico,PR,Home Office
12151,Vincent Krueger,Puerto Rico,PR,Home Office
10018,Gregory Rodriguez,Puerto Rico,PR,Home Office
4936,Kyle Smith,Puerto Rico,PR,Home Office
8707,Lisa Smith,Puerto Rico,PR,Home Office
1025,Megan Todd,Puerto Rico,PR,Home Office
8831,Mary Smith,Puerto Rico,PR,Home Office
10679,Mary Smith,Puerto Rico,PR,Home Office
5007,Mary Smith,Puerto Rico,PR,Home Office
9854,Mary Smith,Puerto Rico,PR,Home Office
376,Grace Sanchez,Puerto Rico,PR,Home Office
5417,Dennis Meyer,Puerto Rico,PR,Home Office
10759,Douglas Smith,Puerto Rico,PR,Home Office
8541,Mary Smith,Puerto Rico,PR,Home Office
3752,Mary Vega,Puerto Rico,PR,Home Office
4673,Wayne Hodges,Puerto Rico,PR,Home Office
5367,Mary Mccormick,Puerto Rico,PR,Home Office
10485,Mary Smith,Puerto Rico,PR,Home Office
9272,Ronald Blackwell,Puerto Rico,PR,Home Office
647,Mary Rios,Puerto Rico,PR,Consumer
6398,Tammy Smith,Puerto Rico,PR,Consumer
4209,Mary Lara,Puerto Rico,PR,Consumer
8917,Mary Smith,Puerto Rico,PR,Consumer
7784,Mary Smith,Puerto Rico,PR,Consumer
1425,Christina Harvey,Puerto Rico,PR,Consumer
2737,Mary Smith,Puerto Rico,PR,Consumer
6428,Mary Smith,Puerto Rico,PR,Consumer
6543,Alexander Smith,Puerto Rico,PR,Consumer
3990,Sandra Smith,Puerto Rico,PR,Consumer
8524,Ruth Farrell,Puerto Rico,PR,Consumer
9204,Mary Harris,Puerto Rico,PR,Consumer
11761,Lauren Coleman,Puerto Rico,PR,Consumer
9554,Mary Hayes,Puerto Rico,PR,Consumer
5118,Mary Smith,Puerto Rico,PR,Consumer
5506,Gregory Smith,Puerto Rico,PR,Consumer
1423,Mary Day,Puerto Rico,PR,Consumer
138,Mary Dawson,Puerto Rico,PR,Consumer
6360,Mary Phillips,Puerto Rico,PR,Consumer
2053,Ronald Smith,Puerto Rico,PR,Consumer
10344,Mary Smith,Puerto Rico,PR,Consumer
3375,Mary Sanchez,Puerto Rico,PR,Consumer
1339,Melissa Mack,Puerto Rico,PR,Consumer
7247,Mary Smith,Puerto Rico,PR,Consumer
1273,Maria Evans,Puerto Rico,PR,Consumer
6277,Eugene Smith,Puerto Rico,PR,Consumer
7701,James Lawson,Puerto Rico,PR,Consumer
4126,John Stokes,Puerto Rico,PR,Consumer
9528,Mary Flores,Puerto Rico,PR,Consumer
1853,Mary Austin,Puerto Rico,PR,Consumer
11149,Roy Smith,Puerto Rico,PR,Consumer
5828,Katherine Oconnell,Puerto Rico,PR,Consumer
6887,Mary Smith,Puerto Rico,PR,Consumer
4781,Janet Smith,Puerto Rico,PR,Consumer
10668,Mary Smith,Puerto Rico,PR,Consumer
5421,Mary Carlson,Puerto Rico,PR,Consumer
10200,Nicole Smith,Puerto Rico,PR,Consumer
11254,Sharon Smith,Puerto Rico,PR,Consumer
11106,Mary Navarro,Puerto Rico,PR,Consumer
8456,Mary Smith,Puerto Rico,PR,Consumer
6149,Matthew Bush,Puerto Rico,PR,Consumer
1473,Anthony Young,Puerto Rico,PR,Consumer
1840,Jerry Smith,Puerto Rico,PR,Consumer
6757,Mary Freeman,Puerto Rico,PR,Consumer
3972,Laura Bennett,Puerto Rico,PR,Consumer
9316,Megan Sanders,Puerto Rico,PR,Consumer
11213,Mary Black,Puerto Rico,PR,Consumer
3474,Jack Hatfield,Puerto Rico,PR,Consumer
14630,Kirestin Barr,Puerto Rico,PR,Consumer
13256,Nora Downs,Puerto Rico,PR,Consumer
14665,Jennifer Stokes,Puerto Rico,PR,Consumer
13363,Madonna Ingram,Puerto Rico,PR,Consumer
14645,Noelani Hyde,Puerto Rico,PR,Consumer
13163,Sydnee Nolan,Puerto Rico,PR,Consumer
14553,Willa Potter,Puerto Rico,PR,Consumer
14287,Alma Delgado,Puerto Rico,PR,Consumer
13179,Ila Knight,Puerto Rico,PR,Consumer
13035,Belle Booker,Puerto Rico,PR,Consumer
14322,Alyssa Contreras,Puerto Rico,PR,Consumer
13196,Lani Nash,Puerto Rico,PR,Consumer
14604,Demetria Jarvis,Puerto Rico,PR,Consumer
12961,Joan Nixon,Puerto Rico,PR,Consumer
14676,Gay Harper,Puerto Rico,PR,Consumer
14087,Audrey Acosta,Puerto Rico,PR,Consumer
13194,Riley Jones,Puerto Rico,PR,Consumer
14513,Imani Kelly,Puerto Rico,PR,Consumer
13461,Mechelle Parker,Puerto Rico,PR,Consumer
14510,Imani Castaneda,Puerto Rico,PR,Consumer
13190,Whitney Henderson,Puerto Rico,PR,Consumer
14508,Roanna Martin,Puerto Rico,PR,Consumer
14472,Vivian Hays,Puerto Rico,PR,Consumer
14562,Xantha Brock,Puerto Rico,PR,Consumer
13206,Zia Davis,Puerto Rico,PR,Consumer
13080,Mara Duffy,Puerto Rico,PR,Consumer
14633,Sloane Long,Puerto Rico,PR,Consumer
14097,Winifred Alexander,Puerto Rico,PR,Consumer
13024,Giselle Farrell,Puerto Rico,PR,Consumer
778,John Buckley,Puerto Rico,PR,Consumer
7146,Nancy Curry,Puerto Rico,PR,Consumer
6365,Mary Smith,Puerto Rico,PR,Consumer
8422,Wayne Crawford,Puerto Rico,PR,Consumer
3784,Mary Sharp,Puerto Rico,PR,Consumer
10519,Mary Smith,Puerto Rico,PR,Consumer
7132,David Guerra,Puerto Rico,PR,Consumer
3709,Mary Padilla,Puerto Rico,PR,Consumer
1509,Patricia Petersen,USA,NY,Consumer
1636,Julie Petersen,USA,MD,Consumer
2784,Lisa Smith,USA,CA,Consumer
9174,Tyler Smith,USA,NY,Consumer
122,Karen Smith,USA,OH,Consumer
3800,Shawn Smith,USA,MD,Consumer
10029,Mary Silva,USA,TX,Consumer
2805,Willie Smith,USA,TX,Consumer
12253,Mary Chan,USA,PA,Consumer
3528,Nicole Brooks,USA,CA,Consumer
11018,Bruce Smith,USA,HI,Consumer
3222,Mary Williams,USA,NJ,Consumer
6246,Melissa Ramirez,USA,NY,Consumer
8741,Gregory Smith,USA,CA,Consumer
8050,Elizabeth Smith,USA,TX,Consumer
5474,Mary Sanchez,USA,WI,Consumer
474,Mary Patton,USA,PA,Consumer
12255,Mary Davis,USA,CA,Consumer
10288,Mark Smith,USA,FL,Consumer
4717,Mary Sanders,USA,NY,Consumer
4799,Paul Jensen,USA,HI,Consumer
4533,Walter Chavez,USA,CA,Consumer
12383,Joyce Phillips,USA,NY,Consumer
3518,Daniel Smith,USA,CA,Consumer
4674,Mary Lynn,USA,NY,Consumer
8519,Pamela Michael,USA,IL,Consumer
5302,Betty Smith,USA,MA,Consumer
3594,Mary Smith,USA,CA,Consumer
9890,Christian Luna,USA,AZ,Consumer
1410,Mary Smith,USA,CA,Consumer
7521,Mary Ortega,USA,PA,Consumer
2106,Mary Grimes,USA,CO,Consumer
8144,Mary Summers,USA,CA,Consumer
5643,Tiffany Caldwell,USA,MD,Consumer
2041,Paul Garcia,USA,MN,Consumer
7537,Stephen Lee,USA,TX,Consumer
3056,George Middleton,USA,PA,Consumer
7967,Samuel Jones,USA,PA,Consumer
1758,Larry King,USA,NY,Consumer
7884,Peter Smith,USA,NC,Corporate
289,Diana Richards,USA,NJ,Corporate
10081,Mary Castillo,USA,CA,Corporate
1169,Mary Smith,USA,CA,Corporate
1182,Mary Smith,USA,FL,Corporate
717,Mary Camacho,USA,NM,Corporate
20423,Ainsley Leach,USA,TX,Corporate
5801,Theresa Pearson,USA,FL,Corporate
702,Cynthia Smith,USA,OR,Corporate
6951,Mary Williams,USA,NJ,Corporate
6780,Sean Chung,USA,SC,Corporate
6422,Jonathan Richmond,USA,CA,Corporate
5384,Christopher Smith,USA,TX,Corporate
2985,Donald Price,USA,VA,Corporate
18349,Rana Moreno,USA,NY,Corporate
11286,Mary Garcia,USA,CA,Corporate
489,William Smith,USA,OR,Corporate
4510,Rachel Cochran,USA,OH,Corporate
9626,Dorothy Frye,USA,TX,Corporate
9494,Robert Gilmore,USA,TX,Corporate
1718,Mary Smith,USA,NY,Corporate
5295,Mary Williams,USA,UT,Corporate
3984,Brenda Webster,USA,WA,Corporate
5270,Andrea Johnson,USA,IL,Corporate
10966,Martha Pierce,USA,MA,Corporate
1868,Mary Riddle,USA,NY,Corporate
17446,Freya Golden,USA,TX,Corporate
10071,Mary Lawrence,USA,PA,Corporate
1271,Carolyn Shea,USA,CA,Corporate
11930,Mary Gilbert,USA,MI,Corporate
20529,Lynn Sweeney,USA,CA,Corporate
8358,Mary Smith,USA,CA,Corporate
7705,Julia Robinson,USA,IL,Corporate
17392,Patience Ward,USA,CA,Corporate
18276,Cheryl Koch,USA,CA,Corporate
7795,Sandra Smith,USA,HI,Corporate
20655,Whitney Collins,USA,OH,Corporate
2454,Kyle Curtis,USA,CA,Corporate
150,Mary Smith,USA,NJ,Corporate
10671,Timothy Moses,USA,CA,Corporate
11924,Mary Ramos,USA,CA,Corporate
16086,Aimee Terrell,USA,FL,Corporate
4398,Mary Yoder,USA,CA,Consumer
5687,Mary Chapman,USA,FL,Consumer
8534,Mary Rose,USA,TX,Consumer
3372,Virginia Smith,USA,NJ,Consumer
10927,Jessica Lang,USA,NJ,Consumer
3597,Margaret Smith,USA,FL,Consumer
2052,Mary Anthony,USA,OH,Consumer
4399,Richard Smith,USA,VA,Consumer
185,Deborah Smith,USA,KY,Consumer
3441,Emma Russell,USA,NY,Consumer
11947,Mary Smith,USA,IL,Consumer
1555,Adam Smith,USA,NY,Consumer
9399,Mary Bennett,USA,AZ,Consumer
2792,Roy Carey,USA,MA,Consumer
10118,Mary Reynolds,USA,OH,Consumer
8544,Sarah Smith,USA,NY,Consumer
4296,Edward Sanchez,USA,NY,Consumer
4391,Harry Smith,USA,CA,Consumer
2882,Mary Decker,USA,TX,Consumer
3283,Charles Ramos,USA,WV,Consumer
397,Mary Delgado,USA,MD,Consumer
4104,Debra Butler,USA,IL,Consumer
12214,Jennifer Summers,USA,FL,Consumer
10699,Mary Lee,USA,FL,Consumer
2091,Doris Smith,USA,RI,Consumer
10474,Benjamin Case,USA,CA,Consumer
7504,Stephanie Smith,USA,GA,Consumer
7518,Mary Padilla,USA,IL,Consumer
1738,Nicholas Murray,USA,MI,Consumer
1622,Mary Smith,USA,CA,Consumer
1325,Gregory Nelson,USA,CT,Consumer
5505,Joseph Matthews,USA,NY,Consumer
4210,Matthew Roach,USA,AZ,Consumer
11229,Diane Smith,USA,LA,Consumer
9385,Andrew Whitehead,USA,PA,Consumer
900,George Smith,USA,MI,Consumer
6217,Roger Black,USA,PA,Consumer
9466,Mary Smith,USA,TN,Consumer
4596,Mary Burns,USA,WA,Consumer
5206,Mary Palmer,USA,CA,Consumer
2823,Danielle Smith,USA,IL,Consumer
10408,Sandra Smith,USA,CA,Consumer
11011,Mary Mullins,USA,NY,Consumer
40,Mary Smith,USA,CA,Consumer
11636,Patrick Browning,USA,IL,Consumer
7454,Andrew Kim,USA,CA,Corporate
5138,William Rivera,USA,CA,Corporate
8696,Mary Pope,USA,DC,Corporate
2329,Mary Smith,USA,FL,Corporate
12431,Mary Rios,USA,HI,Corporate
10860,Mary Johnson,USA,CA,Corporate
12094,Mary Smith,USA,NY,Corporate
5088,Mary Smith,USA,CA,Corporate
2200,Evelyn Wilson,USA,TX,Corporate
3997,Margaret Walker,USA,NY,Corporate
8746,Charles Stout,USA,OH,Corporate
3687,Mary Morrow,USA,PA,Corporate
9162,Christina Carter,USA,CA,Corporate
8993,Mary Smith,USA,CA,Corporate
5875,Mary Rodgers,USA,PA,Corporate
2502,Mary Smith,USA,CA,Corporate
9563,Pamela Murphy,USA,CA,Corporate
7259,Jerry Ingram,USA,TN,Corporate
3131,Mary Brown,USA,CA,Corporate
4140,Brandon Smith,USA,OH,Corporate
4539,Jacqueline James,USA,TX,Corporate
6071,Mary Wu,USA,NY,Corporate
8730,Mary Smith,USA,CA,Corporate
9634,Mary Weaver,USA,NJ,Corporate
8010,Kathy Smith,USA,WV,Corporate
3484,Rebecca Hunter,USA,NY,Corporate
7307,Brandon Foster,USA,IL,Corporate
1975,Mary Smith,USA,GA,Corporate
629,Matthew Huffman,USA,CA,Corporate
11753,Richard Reid,USA,FL,Corporate
5375,Jeremy Holmes,USA,CA,Corporate
1695,Amanda Marquez,USA,MN,Corporate
9884,Maria Dorsey,USA,NJ,Corporate
8498,Joseph Pennington,USA,TX,Corporate
7534,Mary Smith,USA,CA,Corporate
123,Mary Mann,USA,OR,Corporate
8925,Mary Erickson,USA,FL,Corporate
5981,Ronald Williamson,USA,MN,Corporate
7347,Carolyn Gallegos,USA,NY,Corporate
19445,Felicia Clark,Puerto Rico,PR,Corporate
19444,Wanda Sanford,USA,CA,Corporate
19443,Hayfa Boyle,USA,TX,Corporate
19442,Lavinia Houston,Puerto Rico,PR,Corporate
19441,Yetta Robinson,USA,MA,Corporate
19440,Jennifer Holmes,Puerto Rico,PR,Corporate
19439,Mara Mcneil,USA,CA,Corporate
19438,Cleo Woodward,Puerto Rico,PR,Home Office
19437,Cally Dunn,USA,ND,Corporate
19436,Wynter Gay,Puerto Rico,PR,Home Office
19435,Hyacinth Nolan,USA,MD,Consumer
19434,Emma Mayo,Puerto Rico,PR,Corporate
19433,Xerxes Terrell,USA,ND,Corporate
19432,Noel Wheeler,USA,HI,Corporate
19431,Maryam Grant,USA,GA,Corporate
19430,Naida Small,Puerto Rico,PR,Corporate
19429,Lana Green,USA,VA,Consumer
19428,Patience Woodward,USA,CA,Consumer
19427,Rylee Garrett,USA,CA,Corporate
19426,Dakota Green,USA,NY,Consumer
19425,Fallon Donovan,Puerto Rico,PR,Consumer
19424,Kylynn Zimmerman,USA,UT,Consumer
19423,Inez Fleming,USA,TN,Consumer
19422,Carolyn Davenport,Puerto Rico,PR,Consumer
19421,Miriam Vega,USA,CA,Consumer
19420,Danielle Rush,USA,GA,Home Office
19419,Chloe Pickett,Puerto Rico,PR,Home Office
19418,Beverly Fisher,USA,MI,Consumer
19417,Gillian Camacho,Puerto Rico,PR,Home Office
19416,Madeline Wooten,USA,NY,Home Office
19415,Yoshi Shelton,Puerto Rico,PR,Consumer
19414,Hadley Russell,USA,CO,Corporate
19413,Renee Morales,USA,MI,Corporate
19412,Iola King,Puerto Rico,PR,Corporate
19411,Tamekah Blair,USA,IL,Corporate
19410,Cherokee Huffman,Puerto Rico,PR,Corporate
19409,Odessa Cherry,USA,MI,Corporate
19408,Rose Mack,Puerto Rico,PR,Consumer
19407,Linda Haley,USA,TN,Consumer
19406,May Kennedy,Puerto Rico,PR,Consumer
19405,Lilah Holmes,USA,OH,Corporate
19404,Tana Franklin,Puerto Rico,PR,Consumer
19403,Emi Mitchell,USA,NY,Corporate
19402,Cynthia Albert,Puerto Rico,PR,Corporate
19401,Myra Manning,USA,MO,Corporate
19400,Medge Mcfarland,USA,CA,Corporate
19399,Chloe Nichols,USA,CA,Home Office
19398,Beatrice Holt,Puerto Rico,PR,Home Office
19397,Ria Padilla,USA,MO,Home Office
19396,Charity Sharpe,Puerto Rico,PR,Home Office
19395,Nell Garrison,USA,CA,Home Office
19394,Tamara Larson,USA,CA,Home Office
19393,Phyllis Higgins,Puerto Rico,PR,Home Office
19392,Nelle Shaffer,USA,GA,Home Office
19391,Aimee Daugherty,Puerto Rico,PR,Corporate
19390,Blossom Middleton,USA,MI,Home Office
19389,Breanna Morrison,USA,NY,Corporate
19388,Katelyn Key,Puerto Rico,PR,Corporate
19387,Karly Porter,USA,AZ,Corporate
19386,Olga Stein,Puerto Rico,PR,Corporate
19385,Brenna Wyatt,USA,CA,Corporate
19384,Tatyana Tyson,Puerto Rico,PR,Home Office
19383,Ifeoma Hendricks,USA,NJ,Corporate
19382,Kitra Howard,USA,TN,Corporate
19381,Summer Hester,USA,TN,Consumer
19380,Sopoline Hood,Puerto Rico,PR,Consumer
19379,Emma Suarez,USA,UT,Home Office
19378,Eliana Santos,Puerto Rico,PR,Consumer
19377,Denise Young,USA,CA,Consumer
19376,Hermione Rose,Puerto Rico,PR,Corporate
19375,Lara Kim,USA,CA,Consumer
19374,Hedy Dunn,Puerto Rico,PR,Consumer
19373,Violet Melton,USA,FL,Home Office
19372,Taylor Aguilar,Puerto Rico,PR,Home Office
19371,Clare Jenkins,USA,NY,Home Office
19370,Xerxes Marsh,Puerto Rico,PR,Corporate
19369,Rhonda Bruce,USA,NY,Corporate
19368,Morgan Jimenez,USA,CA,Consumer
19367,Illiana Mcpherson,Puerto Rico,PR,Consumer
19366,Joan Hickman,USA,CA,Consumer
19365,Amity Weber,Puerto Rico,PR,Consumer
19364,Jayme Tyler,USA,NC,Consumer
19363,Geraldine Mcfadden,USA,OH,Consumer
19362,Anika Stokes,USA,OR,Consumer
19361,Dana Hoffman,Puerto Rico,PR,Consumer
19360,Blossom Hill,Puerto Rico,PR,Corporate
19359,Sybil Noel,USA,NY,Corporate
19358,Genevieve Joyce,USA,OH,Corporate
19357,Tara Gordon,Puerto Rico,PR,Corporate
19356,Emma Armstrong,USA,CA,Consumer
19355,Geraldine Barlow,Puerto Rico,PR,Corporate
19354,Lilah Huff,USA,CA,Home Office
19353,Ella Mcmahon,USA,AZ,Consumer
19352,Lilah Glass,Puerto Rico,PR,Home Office
19351,Alyssa Fowler,USA,HI,Home Office
19350,Heather Rocha,Puerto Rico,PR,Consumer
12069,Brittany Gardner,Puerto Rico,PR,Home Office
9597,Lori Perez,Puerto Rico,PR,Home Office
9467,Billy Butler,Puerto Rico,PR,Home Office
2546,Mary Smith,Puerto Rico,PR,Home Office
2240,Edward West,Puerto Rico,PR,Home Office
11650,Mary Smith,Puerto Rico,PR,Home Office
10368,Matthew Key,Puerto Rico,PR,Home Office
6489,Maria Macdonald,Puerto Rico,PR,Home Office
10533,Michael Smith,Puerto Rico,PR,Home Office
11292,William Saunders,Puerto Rico,PR,Home Office
47,Lori Fuller,Puerto Rico,PR,Home Office
6405,Mary Anderson,Puerto Rico,PR,Home Office
2426,Mary Phillips,Puerto Rico,PR,Home Office
8133,Benjamin Riddle,Puerto Rico,PR,Home Office
1429,Pamela Murphy,Puerto Rico,PR,Home Office
9120,Terry Trujillo,Puerto Rico,PR,Home Office
12221,Betty Sanchez,Puerto Rico,PR,Home Office
9415,Mary Joyce,Puerto Rico,PR,Home Office
724,Lawrence Mclaughlin,Puerto Rico,PR,Home Office
8897,Stephen Blackburn,Puerto Rico,PR,Home Office
7112,Mark Harris,Puerto Rico,PR,Home Office
1086,Mary Smith,Puerto Rico,PR,Home Office
2916,Cynthia Nelson,Puerto Rico,PR,Home Office
11339,Mary King,Puerto Rico,PR,Home Office
10166,Aaron Smith,Puerto Rico,PR,Home Office
3091,Carolyn Rodriguez,Puerto Rico,PR,Home Office
1070,Shawn Huffman,Puerto Rico,PR,Home Office
6871,Gregory Bowman,Puerto Rico,PR,Home Office
2339,Mary Smith,Puerto Rico,PR,Home Office
4232,Mary Garza,Puerto Rico,PR,Home Office
8986,Mary Smith,Puerto Rico,PR,Home Office
6491,Bruce Cruz,Puerto Rico,PR,Home Office
5564,Mary Smith,Puerto Rico,PR,Home Office
7955,Mary Rios,Puerto Rico,PR,Home Office
5728,Sarah Montoya,Puerto Rico,PR,Home Office
9704,Mary Mcneil,Puerto Rico,PR,Home Office
8485,Mary Simmons,Puerto Rico,PR,Home Office
11216,Mary Morgan,Puerto Rico,PR,Home Office
12160,Martha Richmond,Puerto Rico,PR,Home Office
6352,Madison Smith,Puerto Rico,PR,Home Office
5870,John Hughes,Puerto Rico,PR,Home Office
11776,Mary Smith,Puerto Rico,PR,Home Office
7060,Virginia Carroll,Puerto Rico,PR,Home Office
3466,Evelyn Smith,Puerto Rico,PR,Home Office
1834,Jane Nichols,Puerto Rico,PR,Home Office
2439,Mary Smith,Puerto Rico,PR,Home Office
6416,Mary Smith,Puerto Rico,PR,Home Office
6310,Jerry Deleon,Puerto Rico,PR,Home Office
9029,Mary Bryan,Puerto Rico,PR,Home Office
295,Julie Tanner,Puerto Rico,PR,Home Office
9011,Mary Smith,Puerto Rico,PR,Home Office
1577,Mary Smith,Puerto Rico,PR,Home Office
1568,Mary Larson,Puerto Rico,PR,Home Office
9047,Jordan Medina,Puerto Rico,PR,Home Office
7603,Kevin Smith,Puerto Rico,PR,Home Office
6746,Anthony Sanchez,Puerto Rico,PR,Home Office
1566,Mary Simon,Puerto Rico,PR,Consumer
2918,Mary Myers,Puerto Rico,PR,Consumer
1491,Joyce Smith,Puerto Rico,PR,Consumer
14915,Octavia French,Puerto Rico,PR,Consumer
9619,Mary Smith,Puerto Rico,PR,Consumer
2363,Mary Frazier,Puerto Rico,PR,Consumer
5898,Emily Jacobs,Puerto Rico,PR,Consumer
1948,Peter Smith,Puerto Rico,PR,Consumer
1820,Mary Hill,Puerto Rico,PR,Consumer
14770,Kelsie Tate,Puerto Rico,PR,Consumer
1962,Marie Smith,Puerto Rico,PR,Consumer
7175,Judy Webb,Puerto Rico,PR,Consumer
1222,Michael Garcia,Puerto Rico,PR,Consumer
487,Kenneth Brown,Puerto Rico,PR,Consumer
2217,Mary Martinez,Puerto Rico,PR,Consumer
14824,Jaime Todd,Puerto Rico,PR,Consumer
2078,Roger Morales,Puerto Rico,PR,Consumer
10497,Justin Pena,Puerto Rico,PR,Consumer
4695,Hannah Guerra,Puerto Rico,PR,Consumer
9857,Lawrence Deleon,Puerto Rico,PR,Consumer
2168,Mary Reynolds,Puerto Rico,PR,Consumer
4078,Mary Gallegos,Puerto Rico,PR,Consumer
11887,Christopher Smith,Puerto Rico,PR,Consumer
6588,Mary Smith,Puerto Rico,PR,Consumer
7167,Harold Medina,Puerto Rico,PR,Consumer
1459,Mary Smith,Puerto Rico,PR,Consumer
548,Ryan Horton,Puerto Rico,PR,Consumer
5224,Jane Green,Puerto Rico,PR,Consumer
2686,Mary Coffey,Puerto Rico,PR,Consumer
468,Mary Stone,Puerto Rico,PR,Consumer
1260,Kelly Calderon,Puerto Rico,PR,Consumer
3050,Mary Smith,Puerto Rico,PR,Consumer
10308,Mary Smith,Puerto Rico,PR,Consumer
387,Mary Levy,Puerto Rico,PR,Consumer
2270,Mary Smith,Puerto Rico,PR,Consumer
482,Megan Moreno,Puerto Rico,PR,Consumer
1956,Mary Clay,Puerto Rico,PR,Consumer
7466,Mary Warren,Puerto Rico,PR,Consumer
8224,Edward Chang,Puerto Rico,PR,Consumer
3490,Mary Smith,Puerto Rico,PR,Consumer
1596,John Hammond,Puerto Rico,PR,Consumer
3969,Carl Smith,Puerto Rico,PR,Consumer
9342,Teresa Grant,Puerto Rico,PR,Consumer
2028,Cynthia Smith,Puerto Rico,PR,Consumer
3940,Mary Smith,Puerto Rico,PR,Consumer
8293,Nathan Mahoney,Puerto Rico,PR,Consumer
9962,Diana Smith,Puerto Rico,PR,Consumer
8098,Mary Smith,Puerto Rico,PR,Consumer
8348,Mary Maddox,Puerto Rico,PR,Consumer
653,Jason Haas,Puerto Rico,PR,Consumer
8645,Andrew Johnston,Puerto Rico,PR,Consumer
1275,Amanda Smith,Puerto Rico,PR,Consumer
11189,Mary Hammond,Puerto Rico,PR,Consumer
5988,Melissa Miller,Puerto Rico,PR,Consumer
9726,Steven Smith,Puerto Rico,PR,Consumer
5113,Judith Osborne,Puerto Rico,PR,Consumer
7202,Beverly Smith,Puerto Rico,PR,Consumer
1173,Mary Silva,Puerto Rico,PR,Consumer
13597,Sara Mejia,Puerto Rico,PR,Consumer
4047,Marilyn Potter,Puerto Rico,PR,Consumer
6594,Rebecca Austin,Puerto Rico,PR,Consumer
1186,Mary Soto,Puerto Rico,PR,Consumer
4279,Jack Meyer,Puerto Rico,PR,Consumer
4151,Mary Smith,Puerto Rico,PR,Consumer
14848,Karina Harper,Puerto Rico,PR,Consumer
4697,Kathryn Singh,Puerto Rico,PR,Consumer
5887,Mary Peters,Puerto Rico,PR,Consumer
3207,Stephen Smith,Puerto Rico,PR,Consumer
12310,Ralph Nielsen,Puerto Rico,PR,Consumer
8397,Amber Smith,Puerto Rico,PR,Consumer
6306,Donna Browning,Puerto Rico,PR,Consumer
8002,Margaret Martinez,Puerto Rico,PR,Consumer
12382,Jennifer Smith,Puerto Rico,PR,Consumer
